letter,weight,rel_weight,center,rel_center,horizontal moment,vertical moment,normalized horizontal moment,normalized vertical moment,i45 moment,normalized i45 moment,i135 moment,normalized i135 moment
Ա,393,0.2799145299145299,"(19, 18)","(0.47368421052631576, 0.4857142857142857)",54266,50552,19.2637557685481,17.945331913383033,43614.0,15.482428115015974,61204.0,21.726659566915156
ա,414,0.40390243902439027,"(19, 12)","(0.45, 0.4583333333333333)",24710,50097,10.715524718126627,21.724631396357328,33469.5,14.514093668690373,41337.5,17.926062445793583
Բ,301,0.25336700336700335,"(14, 17)","(0.40625, 0.45714285714285713)",34468,26294,14.451991614255766,11.024737945492662,40067.0,16.79958071278826,20695.0,8.677148846960169
բ,281,0.3301997649823737,"(10, 15)","(0.4090909090909091, 0.3888888888888889)",34471,11292,18.161749209694417,5.949420442571127,29254.5,15.413329820864067,16508.5,8.697839831401476
Գ,342,0.2638888888888889,"(17, 17)","(0.45714285714285713, 0.45714285714285713)",35080,33259,13.533950617283951,12.831404320987655,18824.5,7.262538580246914,49514.5,19.10281635802469
գ,303,0.32756756756756755,"(12, 16)","(0.4583333333333333, 0.4166666666666667)",31310,14902,15.70210631895687,7.473420260782347,16309.0,8.179037111334003,29903.0,14.996489468405215
Դ,287,0.22777777777777777,"(19, 16)","(0.5294117647058824, 0.42857142857142855)",34210,28523,13.570011900039667,11.314161047203491,15289.5,6.064855216184054,47443.5,18.819317731059105
դ,328,0.3166023166023166,"(14, 15)","(0.48148148148148145, 0.3888888888888889)",35145,18355,16.323734324198792,8.525313516024152,17368.0,8.066883418485833,36132.0,16.78216442173711
Ե,302,0.2621527777777778,"(14, 18)","(0.41935483870967744, 0.4857142857142857)",35813,26060,15.436637931034483,11.232758620689655,21360.5,9.207112068965516,40512.5,17.46228448275862
ե,277,0.28036437246963564,"(11, 21)","(0.4, 0.5405405405405406)",35455,10944,16.724056603773583,5.162264150943396,14065.5,6.634669811320754,32333.5,15.251650943396227
Զ,372,0.33513513513513515,"(15, 19)","(0.4827586206896552, 0.5)",44127,28745,19.44777434993389,12.66857646540326,36230.0,15.967386513882767,36642.0,16.148964301454384
զ,287,0.31027027027027027,"(12, 16)","(0.4583333333333333, 0.4166666666666667)",29343,13972,14.715646940822467,7.007021063189569,15646.5,7.84679037111334,27668.5,13.875877632898696
Է,270,0.25,"(12, 18)","(0.4230769230769231, 0.4358974358974359)",38948,13659,16.7230571060541,5.864748819235723,18521.5,7.952554744525547,34085.5,14.635251180764277
է,232,0.23015873015873015,"(9, 20)","(0.34782608695652173, 0.4634146341463415)",35075,6641,14.989316239316238,2.838034188034188,14140.0,6.042735042735043,27576.0,11.784615384615385
Ը,289,0.2744539411206078,"(11, 18)","(0.38461538461538464, 0.4473684210526316)",44925,26708,19.966666666666665,11.870222222222223,39766.5,17.674,31866.5,14.162888888888888
ը,340,0.34034034034034033,"(12, 16)","(0.4230769230769231, 0.4166666666666667)",40572,16757,19.338417540514776,7.987130600571973,30756.5,14.659914204003814,26572.5,12.665633937082935
Թ,444,0.3008130081300813,"(19, 17)","(0.45, 0.45714285714285713)",42031,49796,14.118575747396708,16.726906281491434,56805.5,19.081457843466577,35021.5,11.764024185421565
թ,407,0.3548387096774194,"(13, 15)","(0.4, 0.3888888888888889)",40303,25248,17.297424892703862,10.836051502145922,40997.5,17.59549356223176,24553.5,10.537982832618026
Ժ,355,0.28174603174603174,"(16, 18)","(0.4411764705882353, 0.4857142857142857)",37153,33840,14.737405791352638,13.423244744149148,50230.5,19.92483141610472,20762.5,8.235819119397064
ժ,301,0.30465587044534415,"(12, 20)","(0.44, 0.5135135135135135)",32709,15935,15.42877358490566,7.5165094339622645,32970.0,15.55188679245283,15674.0,7.393396226415095
Ի,284,0.2798029556650246,"(12, 16)","(0.39285714285714285, 0.4411764705882353)",28845,19835,13.961761858664085,9.600677637947726,25335.0,12.262826718296225,23345.0,11.299612778315586
ի,355,0.26296296296296295,"(11, 24)","(0.38461538461538464, 0.46938775510204084)",62369,15825,19.315267884794054,4.900898110870238,36346.0,11.256116444719728,41848.0,12.960049550944564
Լ,219,0.20277777777777778,"(10, 20)","(0.34615384615384615, 0.48717948717948717)",37115,9260,15.936024044654358,3.9759553456419066,12064.5,5.180120223271791,34310.5,14.731859167024474
լ,167,0.2375533428165007,"(6, 18)","(0.2777777777777778, 0.4722222222222222)",22616,1043,13.072832369942196,0.6028901734104046,9849.5,5.69335260115607,13809.5,7.982369942196532
Խ,393,0.3119047619047619,"(16, 18)","(0.42857142857142855, 0.5)",36953,46378,14.658072193573979,18.396667988893295,36725.5,14.567830226100753,46605.5,18.48690995636652
